domain,file,true,prediction,C_horizons,Impr_C_horizons
depots,p256,8,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p255,10,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p300,12,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p212,10,10,"[10, 15, 17, 20, 24, 30, 38, 50, 67, 90, 123, 170, 236]","[10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p259,9,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p261,10,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p284,11,14,"[14, 19, 21, 24, 28, 34, 42, 54, 71, 94, 127, 174, 240]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p254,10,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p278,11,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p235,8,10,"[10, 15, 17, 20, 24, 30, 38, 50, 67, 90, 123, 170, 236]","[10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p299,16,14,"[14, 19, 21, 24, 28, 34, 42, 54, 71, 94, 127, 174, 240]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p306,11,15,"[15, 20, 22, 25, 29, 35, 43, 55, 72, 95, 128, 175, 241]","[20, 28, 40, 57, 80, 113, 160, 226]"
depots,p232,10,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p298,12,10,"[10, 15, 17, 20, 24, 30, 38, 50, 67, 90, 123, 170, 236]","[10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p215,8,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p308,11,13,"[13, 18, 20, 23, 27, 33, 41, 53, 70, 93, 126, 173, 239]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p280,11,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
